PopulationID,arrestdate,verdictdate,jailed
3779,2003-09-10,2005-06-10,0
3781,2001-04-27,2001-05-09,0
3788,2007-11-11,2007-12-06,0
3794,2003-06-03,2003-06-20,0
3799,2006-02-10,2006-02-21,0
3799,2008-08-07,2008-12-08,0
3802,2009-06-01,2009-06-16,0
3807,2002-06-14,2002-06-24,0
3809,2011-07-03,2011-08-29,0
3812,2010-04-11,2010-06-06,0
3821,2007-11-02,2007-12-23,0
3824,2004-01-03,2004-06-03,0
3825,2007-11-20,2008-02-12,0
3825,2008-12-06,2009-05-22,0
3830,2007-11-16,2008-06-01,0
3830,2009-09-19,2009-11-24,0
3837,2003-03-26,2003-05-19,0
3840,2014-02-07,2014-10-06,0
3844,2003-08-14,2003-09-10,0
3845,2007-05-28,2007-08-11,0
3853,2002-04-24,2002-08-14,0
3856,2008-02-14,2008-05-13,0
3857,2000-04-04,2000-07-08,0
3859,2007-05-17,2007-05-31,0
3862,2013-11-20,2014-02-28,0
3866,2010-11-22,2010-12-12,0
3869,2009-04-05,2009-06-17,0
3871,2008-03-27,2008-06-26,0
3873,2005-05-04,2005-07-21,0
3876,2009-01-20,2009-04-04,0
3876,2015-05-14,2015-08-25,0
3878,2014-03-15,2014-09-30,0
3883,2006-03-23,2006-04-10,0
3884,2007-09-08,2007-10-09,0
3888,2002-05-03,2003-02-01,0
3893,2010-12-02,2011-01-30,0
3895,2009-02-01,2009-02-22,0
3900,2008-12-20,2009-01-16,1
3904,2008-01-31,2008-03-11,1
3904,2015-06-10,2015-10-17,0
3906,2014-05-18,2015-06-21,0
3907,2014-04-19,2014-06-11,0
3909,2000-12-26,2001-02-13,0
3911,2008-11-18,2009-06-10,0
3916,2001-11-02,2002-01-19,0
3918,2004-04-15,2004-10-11,0
3920,2005-06-20,2005-09-14,0
3928,2006-11-22,2006-12-27,0
3931,2000-09-09,2000-09-17,0
3934,2003-03-24,2003-06-20,0
3934,2007-02-06,2007-05-26,1
3934,2010-10-29,2011-03-03,1
3934,2012-07-06,2013-03-17,1
3942,2004-02-13,2004-03-17,0
3948,2010-04-26,2010-05-10,0
3949,2008-06-23,2008-10-05,0
3953,2005-12-18,2006-03-14,0
3962,2000-03-18,2000-06-23,0
3966,2007-03-03,2007-09-18,0
3970,2005-08-24,2005-11-08,0
3970,2006-06-16,2006-08-17,1
3970,2007-06-25,2007-07-03,0
3972,2007-02-20,2007-02-21,0
3974,2003-05-15,2003-06-22,0
3983,2007-09-28,2008-01-23,0
3984,2013-01-25,2013-06-23,1
3988,2006-03-08,2006-03-19,0
3988,2011-07-10,2011-08-14,0
3993,2003-04-23,2003-05-16,0
3996,2007-08-27,2007-09-06,0
3997,2007-01-10,2007-02-05,0
3997,2009-10-31,2010-03-27,0
4000,2008-05-02,2008-05-25,0
4002,2007-03-10,2007-07-10,0
4006,2006-06-07,2006-06-08,0
4008,2004-07-04,2004-09-21,0
4008,2006-05-16,2006-07-20,1
4008,2011-08-25,2011-09-04,0
4012,2010-06-04,2010-09-01,0
4014,2006-11-17,2006-11-26,0
4021,2004-03-10,2004-10-12,0
4033,2008-04-24,2008-05-09,0
4039,2006-12-18,2007-05-29,0
4041,2000-03-31,2000-07-11,0
4047,2004-06-06,2004-08-05,0
4049,2005-09-20,2005-10-12,0
4049,2014-09-11,2015-03-10,0
4053,2008-04-11,2008-04-25,0
4054,2009-06-12,2009-07-08,0
4056,2007-09-17,2007-10-23,0
4069,2007-04-20,2007-06-13,0
4070,2002-02-11,2002-05-27,1
4088,2004-06-08,2004-06-24,0
4092,2002-06-09,2002-06-19,0
4106,2009-02-15,2009-06-08,0
4107,2004-03-25,2004-05-04,0
4116,2008-02-15,2008-04-03,0
4118,2003-11-17,2003-12-15,0
4121,2006-02-16,2006-02-27,0
4125,2006-09-27,2006-12-19,0
4126,2004-12-17,2005-03-30,0
4127,2000-01-12,2000-04-09,0
4134,2007-01-04,2007-04-08,0
4137,2009-05-20,2009-06-22,0
4137,2009-11-06,2010-03-21,0
4147,2005-09-12,2005-09-22,0
4148,2004-02-08,2004-08-01,0
4150,2007-06-27,2008-07-21,0
4164,2007-08-16,2007-08-18,0
4164,2007-08-10,2009-01-17,1
4167,2008-07-29,2008-09-14,0
4170,2010-10-05,2013-02-28,0
4170,2012-04-13,2013-04-30,0
4172,2002-12-17,2003-03-14,0
4173,2007-02-14,2007-03-05,0
4184,2013-05-30,2014-07-10,0
4184,2013-03-02,2014-11-30,0
4184,2015-02-08,2015-05-11,1
4190,2009-01-14,2009-04-09,0
4200,2013-01-16,2013-04-28,0
4200,2013-07-12,2014-10-17,0
4201,2011-11-25,2011-12-08,0
4202,2006-07-01,2006-08-02,0
4205,2003-02-18,2003-04-07,0
4206,2010-03-20,2010-06-28,0
4207,2010-01-05,2010-02-09,0
4211,2012-02-07,2012-09-11,1
4212,2015-01-23,2015-03-06,0
4216,2009-12-20,2010-03-18,0
4221,2006-02-20,2007-01-24,0
4222,2015-07-21,2015-09-27,0
4224,2010-11-12,2011-01-21,0
4224,2011-11-18,2012-02-06,0
4225,2005-04-09,2005-05-07,0
4228,2000-05-14,2000-05-27,0
4229,2001-12-16,2002-08-02,0
4230,2008-05-28,2008-08-13,0
4240,2009-05-24,2009-07-15,0
4243,2003-08-15,2003-10-12,0
4245,2006-11-03,2006-11-05,0
4246,2003-03-12,2003-03-27,0
4247,2003-08-06,2003-09-14,0
4252,2005-10-02,2006-04-13,0
4253,2009-12-19,2009-12-30,0
4261,2007-04-25,2007-04-26,0
4263,2010-06-04,2011-06-27,0
4264,2005-01-26,2005-02-23,0
4264,2012-12-11,2013-03-13,0
4265,2002-09-05,2002-11-28,0
4267,2009-01-28,2009-05-02,0
4270,2013-10-14,2013-12-03,0
4273,2005-05-13,2005-07-27,0
4276,2002-07-24,2002-08-19,0
4277,2007-04-13,2007-09-10,0
4277,2013-07-20,2013-08-30,0
4280,2003-12-09,2004-03-19,0
4282,2009-08-02,2009-09-11,0
4283,2009-03-12,2009-05-29,0
4287,2003-09-15,2006-09-29,0
4287,2011-11-21,2011-12-17,0
4301,2001-03-09,2001-05-06,0
4303,2002-08-17,2002-09-03,0
4307,2010-08-04,2011-03-19,0
4311,2005-10-30,2006-08-21,0
4313,2008-12-23,2009-02-19,0
4315,2005-10-03,2005-11-19,0
4317,2005-02-05,2005-03-21,0
4318,2007-03-09,2007-07-27,0
4322,2009-07-05,2009-07-14,0
4323,2006-02-06,2006-03-08,0
4332,2007-10-14,2008-02-08,0
4333,2008-03-24,2008-05-31,0
4333,2012-04-08,2012-08-06,0
4335,2003-08-25,2003-09-07,0
4340,2009-08-30,2009-11-06,0
4340,2012-12-14,2013-01-29,0
4340,2011-09-29,2013-06-08,0
4340,2014-07-02,2014-09-22,1
4348,2008-07-12,2009-02-11,0
4349,2009-12-17,2010-01-21,0
4352,2000-08-31,2000-09-11,0
4354,2010-02-13,2010-06-10,0
4356,2001-06-11,2001-08-09,0
4364,2006-10-22,2006-10-23,0
4370,2002-10-27,2002-12-07,0
4385,2008-12-07,2009-02-26,0
4388,2011-05-30,2011-06-15,0
4390,2004-09-21,2004-10-03,0
4393,2006-06-01,2006-12-08,0
4393,2013-03-20,2013-04-19,0
4394,2008-09-27,2008-10-11,0
4399,2009-09-01,2010-03-22,0
4403,2003-02-20,2003-05-16,0
4403,2006-10-31,2006-12-08,0
4403,2010-07-19,2010-09-17,0
4405,2005-12-08,2006-02-13,0
4406,2006-11-26,2007-05-18,0
4407,2008-12-10,2009-01-06,0
4412,2009-09-11,2009-10-08,0
4414,2012-11-20,2013-02-25,0
4418,2000-06-03,2000-10-12,0
4420,2007-01-08,2007-02-26,0
4421,2004-09-19,2004-11-09,0
4422,2008-01-13,2008-01-25,0
4424,2015-08-01,2015-08-15,0
4426,2008-03-12,2008-03-13,0
4429,2004-10-19,2004-12-18,0
4436,2015-04-09,2015-06-27,0
4443,2005-02-28,2005-04-30,0
4447,2011-01-11,2011-04-03,0
4448,2000-08-15,2000-09-06,0
4451,2008-03-02,2008-05-21,0
4453,2007-10-27,2007-11-08,0
4459,2009-10-05,2009-10-22,0
4460,2007-03-05,2007-03-19,0
4461,2010-05-08,2010-05-21,0
4464,2007-12-05,2008-04-18,0
4468,2010-01-11,2010-09-24,0
4468,2010-01-29,2013-04-22,0
4478,2002-07-18,2002-08-14,0
4489,2006-05-28,2006-06-12,0
4491,2014-08-24,2015-01-31,0
4491,2014-09-11,2015-12-03,0
4493,2008-02-10,2008-03-18,0
4497,2001-03-17,2001-05-17,0
4500,2008-01-18,2008-03-03,0
4506,2002-01-31,2002-03-03,0
4506,2002-01-28,2002-10-09,0
4506,2002-10-05,2002-12-15,0
4509,2004-07-24,2004-08-21,0
4511,2008-04-20,2008-04-27,0
4514,2008-10-02,2008-10-30,0
4517,2009-03-17,2009-10-19,0
4517,2009-12-17,2010-02-01,1
4524,2008-01-23,2008-03-16,0
4526,2000-10-03,2001-01-03,0
4531,2008-02-03,2008-02-17,0
4534,2004-06-05,2013-11-17,0
4536,2012-09-08,2013-08-25,0
4536,2013-09-08,2014-04-13,1
4536,2015-04-15,2015-05-05,1
4538,2013-07-22,2013-09-12,0
4541,2007-12-03,2007-12-18,0
4542,2004-03-19,2004-04-24,0
4548,2006-12-26,2007-03-06,0
4550,2012-04-10,2012-08-30,1
4550,2014-12-19,2015-06-04,0
4562,2009-04-11,2009-05-20,0
4564,2009-01-25,2009-07-13,0
4565,2010-04-20,2010-07-15,0
4565,2010-08-18,2010-11-10,0
4573,2006-10-14,2007-04-05,0
4577,2011-01-11,2011-03-16,0
4578,2009-01-19,2009-03-22,0
4583,2010-01-20,2010-03-13,0
4583,2012-09-01,2013-01-22,0
4585,2006-10-26,2007-04-16,0
4586,2009-11-20,2010-06-02,0
4588,2005-04-22,2005-07-06,0
4594,2001-04-26,2003-07-04,0
4594,2012-01-16,2012-03-03,0
4596,2006-02-13,2006-03-02,0
4601,2001-02-24,2001-04-08,0
4602,2011-06-01,2012-03-05,0
4602,2012-08-28,2012-09-26,0
4607,2008-08-09,2008-08-26,0
4610,2009-02-13,2009-06-07,0
4611,2003-12-15,2004-06-07,0
4612,2007-03-16,2007-03-30,0
4613,2003-03-20,2003-04-10,0
4617,2001-08-26,2001-10-10,0
4623,2006-08-05,2006-10-07,0
4629,2009-02-25,2009-05-07,0
4651,2005-06-03,2005-08-23,0
4653,2002-04-01,2002-09-14,0
4657,2008-08-06,2008-10-08,0
4658,2009-12-04,2010-05-30,0
4663,2001-07-29,2001-09-06,0
4664,2012-02-18,2012-03-15,0
4665,2007-10-27,2008-06-07,1
4674,2005-08-25,2005-12-06,0
4684,2013-05-30,2013-06-26,0
4690,2015-03-25,2015-09-07,0
4694,2003-12-01,2003-12-28,0
4697,2006-12-07,2007-05-23,1
4699,2006-02-13,2006-03-02,0
4705,2004-09-21,2004-10-15,0
4706,2015-07-14,2015-07-31,0
4708,2006-02-16,2006-02-17,0
4714,2006-11-18,2007-03-01,0
4736,2005-06-22,2005-08-28,0
4748,2006-10-10,2007-08-30,0
4752,2007-02-14,2007-02-16,0
4754,2005-05-14,2005-09-15,0
4759,2001-07-14,2001-07-24,0
4763,2008-08-27,2008-10-15,0
4774,2007-01-25,2007-03-08,0
4776,2002-11-07,2003-02-22,0
4780,2003-11-24,2003-12-05,0
4781,2011-07-08,2011-09-28,0
4781,2012-06-28,2015-08-29,0
4785,2010-08-30,2011-10-05,0
4786,2005-09-06,2005-09-16,0
4790,2003-11-21,2003-12-25,0
4793,2004-11-24,2004-12-23,0
4805,2005-05-28,2005-06-06,0
4805,2010-01-28,2010-04-07,0
4806,2003-04-16,2003-07-30,0
4811,2010-03-14,2010-05-15,0
4812,2002-07-20,2002-10-16,0
4814,2007-11-10,2008-01-29,0
4820,2009-09-18,2009-11-24,0
4823,2008-12-09,2009-01-23,0
4826,2007-10-01,2007-11-29,0
4831,2000-08-09,2000-08-20,0
4832,2007-04-14,2007-09-18,0
4832,2009-12-02,2010-03-12,0
4832,2009-12-08,2012-07-15,0
4832,2010-08-31,2012-07-18,0
4842,2000-12-31,2001-03-15,0
4850,2007-09-01,2007-10-21,0
4853,2008-05-27,2008-11-10,0
4854,2011-08-27,2012-05-08,0
4857,2002-06-02,2002-06-12,0
4860,2000-07-10,2000-11-21,0
4861,2008-12-01,2009-07-25,1
4864,2008-02-14,2008-03-21,0
4865,2006-12-03,2007-01-25,0
4865,2010-07-09,2010-08-12,0
4868,2010-02-03,2010-03-10,0
4868,2008-06-20,2011-03-23,0
4870,2008-02-08,2008-02-24,0
4872,2002-07-18,2002-08-14,0
4875,2002-03-22,2002-04-21,0
4876,2008-10-06,2008-10-18,0
4881,2014-10-02,2015-01-30,0
4885,2007-01-30,2007-02-15,0
4888,2007-10-23,2007-10-30,0
4890,2008-11-03,2008-11-14,0
4891,2004-05-13,2004-05-24,0
4894,2006-10-22,2006-11-04,0
4895,2005-03-17,2005-05-30,0
4904,2002-02-16,2003-02-12,0
4907,2008-10-19,2009-02-01,0
4914,2007-05-19,2008-02-15,0
4916,2015-08-21,2015-09-21,0
4921,2002-06-22,2002-07-15,0
4924,2012-07-15,2013-01-02,0
4927,2011-10-17,2012-06-04,0
4927,2013-07-28,2014-02-15,0
4927,2013-09-27,2014-02-17,0
4928,2007-07-20,2007-12-12,0
4930,2006-02-06,2006-03-12,0
4931,2007-05-30,2007-06-06,0
4933,2002-05-17,2002-06-25,0
4935,2005-06-21,2005-07-31,0
4937,2004-10-10,2004-11-30,0
4937,2012-01-18,2012-03-12,0
4938,2006-12-29,2007-03-21,0
4938,2014-11-08,2015-04-08,0
4940,2003-01-11,2003-03-29,0
4943,2010-04-27,2010-05-06,0
4947,2000-02-19,2000-03-31,0
4951,2007-12-16,2008-01-08,0
4955,2001-09-22,2001-11-09,0
4969,2010-02-23,2010-06-24,0
4971,2009-01-01,2009-03-20,0
4972,2007-11-12,2008-02-21,0
4974,2005-07-16,2005-09-02,0
4974,2009-04-05,2009-05-08,0
4976,2002-08-05,2002-08-14,0
4976,2004-06-18,2004-08-10,0
4977,2010-05-08,2010-06-07,0
4982,2007-08-30,2007-10-05,0
4988,2009-08-18,2009-08-31,0
4991,2003-01-28,2003-02-07,0
4992,2011-08-23,2011-10-24,0
4992,2014-01-19,2014-10-31,0
4995,2006-04-25,2006-05-07,0
5003,2012-04-04,2012-11-24,0
5006,2008-12-02,2009-03-08,0
5011,2012-03-25,2012-08-06,1
5013,2014-07-31,2014-12-20,0
5013,2014-08-07,2015-07-04,0
5022,2007-11-14,2007-11-28,0
5023,2007-08-07,2007-08-11,0
5028,2011-11-09,2011-12-31,0
5033,2007-10-13,2007-10-24,0
5037,2011-12-01,2012-02-08,0
5039,2008-11-09,2009-03-12,0
5043,2006-09-19,2006-09-30,0
5047,2009-03-16,2009-09-28,0
5047,2009-12-08,2010-05-14,0
5050,2002-10-29,2003-10-27,0
5054,2004-02-23,2005-03-06,0
5055,2005-04-20,2005-05-27,0
5062,2008-08-05,2008-12-24,0
5063,2006-02-20,2006-04-01,0
5068,2015-09-02,2015-10-10,0
5070,2006-12-18,2007-01-22,0
5071,2003-06-26,2003-11-15,0
5072,2011-05-05,2011-06-26,0
5072,2012-08-29,2012-12-26,1
5072,2012-03-03,2014-05-11,0
5072,2012-02-29,2014-10-10,0
5073,2007-11-23,2008-02-06,0
5077,2007-11-10,2007-12-17,0
5080,2001-04-13,2001-06-22,0
5087,2006-09-26,2006-11-19,0
5087,2006-09-17,2007-03-04,0
5092,2006-09-09,2006-09-18,0
5094,2005-03-07,2005-04-07,0
5096,2009-08-16,2009-09-23,0
5102,2007-08-21,2007-09-01,0
5115,2003-05-17,2003-06-24,0
5126,2006-04-17,2006-09-19,0
5128,2015-02-15,2015-04-04,0
5130,2003-12-01,2003-12-11,0
5144,2005-06-01,2005-08-17,0
5148,2002-06-24,2002-07-03,0
5152,2005-06-17,2005-08-11,0
5153,2005-03-03,2005-07-06,0
5153,2008-04-09,2009-03-04,1
5164,2000-11-06,2001-01-22,0
5169,2001-10-20,2002-07-21,0
5171,2009-05-30,2009-06-27,0
5175,2013-02-14,2013-07-08,0
5176,2004-02-29,2005-05-30,0
5176,2008-02-02,2008-05-05,0
5176,2014-11-30,2015-06-14,0
5178,2005-08-27,2005-10-12,0
5180,2005-12-07,2006-04-10,0
5182,2009-05-02,2009-05-15,0
5184,2007-04-12,2007-12-09,0
5186,2010-11-11,2011-04-11,0
5193,2008-04-17,2008-04-29,0
5194,2011-06-16,2012-01-19,0
5194,2011-06-10,2012-05-03,0
5194,2012-01-19,2012-09-11,0
5194,2015-07-04,2015-12-26,0
5196,2012-02-21,2012-03-25,0
5199,2007-01-29,2007-02-10,0
5209,2006-04-13,2006-06-23,0
5216,2011-03-27,2011-07-12,0
5216,2012-08-15,2013-06-03,1
5217,2004-06-30,2004-07-16,0
5220,2001-05-18,2001-06-11,0
5224,2010-06-23,2011-06-05,0
5225,2012-07-15,2012-08-10,0
5228,2002-11-24,2002-12-25,0
5229,2002-11-28,2003-01-12,0
5229,2004-05-18,2004-06-04,0
5229,2005-10-06,2005-12-07,0
5229,2007-02-18,2007-03-30,0
5229,2014-11-03,2015-03-28,0
5231,2006-06-22,2006-07-03,0
5235,2007-08-25,2008-04-15,0
5241,2007-02-27,2007-07-10,0
5241,2010-10-28,2011-03-20,0
5245,2009-08-05,2009-08-14,0
5246,2011-01-06,2011-06-19,0
5246,2011-12-21,2012-04-15,0
5248,2007-12-25,2008-01-04,0
5251,2005-02-16,2005-05-03,0
5251,2005-01-29,2006-07-28,0
5255,2008-11-10,2009-11-30,0
5256,2008-05-22,2008-05-31,0
5261,2007-03-03,2007-04-29,0
5261,2007-07-07,2007-10-07,0
5262,2008-02-06,2010-03-01,0
5262,2014-01-03,2014-03-02,0
5262,2015-01-25,2015-04-30,1
5262,2015-05-05,2015-08-30,1
5263,2004-06-17,2004-07-03,0
5270,2010-09-05,2011-04-05,0
5279,2003-02-12,2003-04-17,0
5282,2003-03-28,2003-06-28,0
5288,2001-05-14,2004-06-30,0
5288,2001-05-30,2006-06-06,0
5295,2006-10-02,2006-11-25,0
5297,2007-01-17,2007-09-01,0
5297,2012-02-25,2012-07-23,0
5297,2013-07-05,2013-08-11,0
5303,2007-10-25,2007-12-21,1
5303,2008-11-30,2009-02-24,1
5306,2000-04-06,2000-04-17,0
5307,2009-12-25,2011-08-28,0
5315,2008-08-18,2008-08-25,0
5318,2008-11-19,2009-03-29,0
5322,2008-09-08,2008-09-20,0
5323,2011-04-14,2011-06-15,0
5324,2004-12-24,2005-04-03,0
5334,2008-11-26,2009-02-23,0
5334,2013-01-20,2013-04-20,0
5335,2008-09-29,2008-11-22,0
5338,2000-10-17,2000-12-11,0
5339,2007-12-20,2008-04-17,0
5347,2006-11-03,2006-12-06,0
5348,2007-07-02,2008-04-07,1
5348,2009-04-22,2009-06-03,0
5352,2006-10-26,2007-01-18,0
5356,2001-04-18,2001-05-25,0
5357,2010-06-13,2010-07-14,0
5359,2008-01-19,2008-03-25,0
5364,2013-04-01,2013-05-17,0
5365,2014-02-20,2014-06-29,0
5367,2008-03-26,2008-09-16,0
5367,2009-08-02,2009-09-28,1
5367,2014-11-28,2015-11-08,0
5368,2002-06-01,2002-07-24,0
5374,2006-07-20,2006-08-03,0
5377,2012-09-05,2012-09-23,0
5378,2004-08-19,2004-09-21,0
5378,2004-08-22,2006-04-23,1
5380,2006-05-04,2007-02-10,0
5383,2009-02-11,2009-03-17,0
5386,2009-01-05,2009-02-16,0
5394,2008-08-01,2008-12-10,0
5394,2010-03-25,2010-06-11,0
5394,2011-01-10,2011-07-01,0
5394,2012-09-23,2012-11-03,0
5398,2004-03-15,2004-04-27,0
5401,2005-10-10,2005-10-31,0
5402,2005-04-10,2005-08-21,0
5402,2005-04-10,2008-12-21,0
5409,2007-02-02,2007-02-13,0
5410,2005-06-02,2005-10-05,0
5420,2002-11-17,2002-12-25,0
5421,2007-06-18,2007-06-29,0
5422,2008-11-21,2008-12-05,0
5423,2006-10-11,2007-03-13,0
5424,2007-07-03,2007-08-04,0
5424,2009-12-14,2011-03-11,0
5425,2007-09-21,2007-12-19,0
5425,2007-09-15,2011-02-26,0
5430,2008-01-30,2008-03-04,0
5431,2003-03-20,2004-05-01,0
5441,2008-03-26,2008-06-02,0
5441,2012-04-05,2012-08-03,0
5445,2002-08-26,2002-10-13,0
5451,2003-06-23,2003-09-19,0
5452,2002-10-23,2003-08-26,0
5457,2003-09-01,2004-04-10,0
5462,2008-06-14,2008-07-08,0
5464,2008-12-28,2009-07-28,0
5471,2001-08-14,2001-09-23,0
5478,2001-11-18,2001-12-16,0
5481,2014-04-09,2014-06-18,0
5484,2006-05-06,2006-05-28,0
5498,2006-09-01,2006-09-14,0
5500,2002-02-20,2002-04-17,0
5500,2003-02-09,2003-12-26,0
5500,2003-02-05,2004-02-26,0
5500,2004-08-07,2005-01-02,0
5500,2004-08-01,2005-10-26,0
5500,2007-05-01,2007-07-16,0
5500,2006-10-01,2007-10-01,0
5500,2008-10-02,2009-04-15,1
5502,2010-01-08,2010-01-21,0
5514,2004-05-22,2004-06-28,0
5515,2006-03-27,2006-03-30,0
5516,2009-05-02,2009-06-20,0
5523,2006-06-28,2006-09-29,0
5523,2008-10-07,2009-10-20,0
5529,2012-07-07,2012-11-15,1
5531,2002-12-21,2003-02-27,0
5540,2008-11-17,2009-02-26,0
5547,2008-02-21,2008-05-06,0
5550,2004-10-12,2004-11-19,0
5553,2006-08-31,2006-11-09,0
5557,2004-09-20,2004-10-06,0
5557,2005-04-02,2005-05-09,1
5557,2008-06-13,2008-07-21,0
5559,2002-03-09,2002-03-17,0
5561,2013-12-16,2014-03-21,0
5565,2009-11-21,2009-11-29,0
5567,2008-11-05,2008-11-23,0
5568,2001-02-23,2001-03-05,0
5575,2010-09-07,2010-10-14,0
5579,2006-11-18,2006-12-03,0
5582,2005-04-28,2006-09-24,0
5586,2010-11-11,2011-08-16,0
5586,2014-08-20,2014-11-04,0
5587,2003-02-19,2003-03-29,0
5587,2003-03-09,2003-04-24,0
5590,2014-08-03,2014-08-11,0
5591,2007-10-16,2007-10-26,0
